Datetime,FCS_S01_B1_003,FCS_S01_B1_004,FCS_S01_B2_005,FCS_S01_B2_006,FCS_S01_B3_007,FCS_S01_B3_008,FCS_S01_B6_013,FCS_S01_B6_014,FCS_S01_B7_015,FCS_S01_B7_016,FCS_S01_F_019,FCS_S01_F_020,FCS_S01_L1_001,FCS_S01_L1_002,FCS_S01_L2_017,FCS_S01_L2_018,FCS_S02_B1_003,FCS_S02_B1_004,FCS_S02_B2_005,FCS_S02_B2_006,FCS_S02_B3_007,FCS_S02_B3_008,FCS_S02_F_019,FCS_S02_F_020,FCS_S02_L1_001,FCS_S02_L1_002,FCS_S02_L2_017,FCS_S02_L2_018,FCS_S03_B1_003,FCS_S03_B1_004,FCS_S03_B2_005,FCS_S03_B4_010,FCS_S03_B5_011,FCS_S03_B5_012,FCS_S03_B6_013,FCS_S03_B6_014,FCS_S03_B7_015,FCS_S03_B7_016,FCS_S03_F_019,FCS_S03_F_020,FCS_S03_L1_001,FCS_S03_L1_002,FCS_S04_B1_003,FCS_S04_B1_004,FCS_S04_B2_005,FCS_S04_B2_006,FCS_S04_B5_011,FCS_S04_B5_012,FCS_S04_B6_013,FCS_S04_B6_014,FCS_S04_B7_015,FCS_S04_B7_016,FCS_S04_F_019,FCS_S04_F_020,FCS_S04_L1_001,FCS_S04_L1_002,FCS_S04_L2_017,FCS_S04_L2_018,FCS_S05_B1_003,FCS_S05_B1_004,FCS_S05_B2_005,FCS_S05_B2_006,FCS_S05_B4_009,FCS_S05_B4_010,FCS_S05_B5_011,FCS_S05_B5_012,FCS_S05_B6_013,FCS_S05_B6_014,FCS_S05_L1_001,FCS_S05_L1_002,FCS_S05_L2_017,FCS_S05_L2_018
2017/3/8 21:00,-643.166978,238.02131,198.415412,214.811995,191.432495,222.041614,157.473881,153.233826,84.095732,120.726848,173.304569,199.447279,163.39714,258.671359,140.07089,191.715021,177.284228,178.989109,164.944365,187.37826,125.726706,173.312913,149.056262,202.106915,166.054093,220.275494,45.004014,40.544776,199.474581,50.509202,-39.280014,-722.530828,33.395786,99.634156,104.615419,69.363829,107.214165,132.617451,22.076922,83.306861,70.308295,33.700097,70.584854,81.125745,175.288362,142.732082,104.754205,137.340128,122.519396,154.125048,46.223949,35.746245,-15.091325,-15.598198,14.794728,128.874655,49.316071,86.138014,-31.414398,-82.700823,64.588151,14.636573,6.379559,50.987772,111.271257,223.71749,102.614765,153.760936,99.170056,105.467663,29.38662,33.615864
2017/3/9 21:00,-643.166978,237.171119,198.415412,213.921169,191.432495,221.277666,157.473881,152.42438,84.095732,119.847703,173.304569,198.601258,163.39714,257.812371,140.07089,190.762847,177.284228,178.223102,164.944365,186.406134,125.726706,172.478851,149.056262,201.310038,166.054093,219.362083,46.746454,40.396639,200.411666,48.840691,-40.101278,-720.835761,34.267687,101.319294,106.307237,70.986493,108.869238,137.521082,25.338351,84.871451,70.308295,37.006089,70.584854,80.308606,175.288362,141.933622,106.453191,142.212234,124.90441,158.391904,47.01818,35.746245,-14.266239,-15.598198,15.637889,127.878119,50.165921,86.019091,-31.414398,-82.700823,66.388987,15.471126,6.379559,52.540667,113.856713,221.943173,103.475596,157.908692,101.682311,106.994387,30.133104,33.588099
2017/3/10 21:00,-645.950146,234.620547,195.708239,211.248692,188.331084,218.985822,155.208671,149.99604,81.043114,117.210266,170.709472,196.063195,160.439413,255.235405,137.305623,187.906325,174.471366,175.92508,161.951869,183.489757,123.057068,169.976663,146.051407,198.919405,163.368946,216.621848,48.060451,42.601054,204.160008,52.177712,-40.922542,-719.140694,34.267687,105.532141,110.536781,70.986493,113.83446,137.521082,23.707636,88.000631,72.86501,37.832587,68.860256,78.674326,173.190506,140.336704,110.700657,142.212234,128.879432,158.391904,50.989331,37.30352,-14.266239,-12.484785,18.167374,125.885045,48.233488,87.511335,-29.681505,-80.157746,70.891078,16.305678,6.379559,55.646458,115.58035,221.056014,106.91892,157.908692,105.869403,111.574556,29.38662,34.354305
2017/3/11 21:00,-645.950146,232.920165,195.708239,209.467041,188.331084,217.457926,155.208671,148.377147,81.043114,115.451975,170.709472,194.371153,160.439413,253.517428,137.305623,186.001978,174.471366,174.393066,161.951869,181.545505,123.057068,168.308538,146.051407,197.325649,163.368946,214.795025,50.674112,44.070664,204.160008,54.680478,-40.922542,-719.140694,36.011489,108.059849,110.536781,71.797825,116.317071,141.607441,26.969066,92.694401,75.421726,40.31208,67.135657,77.040047,171.09265,138.739785,114.098629,145.460305,132.05945,158.391904,53.372022,39.639432,-10.965896,-12.484785,21.54002,123.891972,48.000754,87.273488,-29.681505,-80.157746,73.592332,17.974784,8.013658,58.752248,115.58035,218.394538,111.223075,162.056449,105.869403,114.628002,31.016464,35.872833
2017/3/12 21:00,-648.733314,231.219784,193.001066,207.68539,185.229673,215.93003,152.943461,146.758254,77.990497,113.693684,168.114376,192.679111,157.481687,251.799451,134.540356,184.09763,171.658503,172.861052,158.959374,179.601254,120.38743,166.640413,143.046553,195.731894,160.683798,212.968203,49.374449,46.423215,206.971264,58.851754,-38.45875,-718.29316,39.499094,112.272695,112.228599,72.609156,117.144608,139.972898,29.415138,95.82358,77.978441,41.965076,66.273358,77.040047,170.043722,138.739785,115.797615,143.024252,132.854455,154.97842,53.372022,41.196707,-10.965896,-10.928078,21.54002,123.891972,49.584088,89.00358,-31.414398,-81.005438,75.393169,21.312995,11.281856,61.081591,118.165805,218.394538,111.223075,161.226898,106.706822,116.154725,30.742713,36.652921
2017/3/13 21:00,-646.877869,234.620547,194.805848,211.248692,187.297281,218.985822,154.453601,149.99604,80.025575,117.210266,169.84444,196.063195,159.453505,255.235405,136.383867,187.906325,173.533745,175.92508,160.954371,183.489757,122.167188,169.976663,145.049789,198.919405,162.473897,216.621848,49.660077,45.249879,206.971264,55.514733,-37.637487,-722.530828,39.499094,112.272695,112.228599,72.609156,113.006923,139.972898,31.045853,92.694401,77.126203,41.138578,67.135657,76.222907,171.09265,137.941326,111.55015,143.024252,128.879432,154.97842,51.783561,42.753982,-9.315725,-11.706432,20.696859,122.895435,48.850604,85.424474,-30.547952,-82.700823,73.592332,22.147548,11.281856,61.081591,118.165805,218.394538,109.501413,161.226898,103.357148,111.574556,33.392791,35.872833
2017/3/14 21:00,-646.877869,233.770356,194.805848,210.357866,187.297281,218.221874,154.453601,149.186594,80.025575,116.331121,169.84444,195.217174,159.453505,254.376416,136.383867,186.954152,173.533745,175.159073,160.954371,182.517631,122.167188,169.142601,145.049789,198.122527,162.473897,215.708437,48.788857,42.452917,203.222922,53.011967,-35.173696,-725.073429,36.88339,110.587557,107.999055,70.175161,110.524312,137.521082,31.86121,89.565221,76.273964,40.31208,65.411058,77.040047,168.994794,138.739785,108.152177,142.212234,126.494419,153.271678,50.195101,41.975344,-9.315725,-10.928078,21.54002,123.891972,49.467721,86.408443,-28.815059,-81.853131,72.691914,20.478442,8.830708,58.752248,113.856712,220.168855,105.197258,157.908693,101.682311,109.284471,33.392791,35.12051
2017/3/15 21:00,-645.950146,235.470738,195.708239,212.139518,188.331084,219.74977,155.208671,150.805487,81.043114,118.089412,170.709472,196.909216,160.439413,256.094393,137.305623,188.858499,174.471366,176.691087,161.951869,184.461883,123.057068,170.810726,146.051407,199.716282,163.368946,217.53526,50.674112,44.515074,205.097093,53.846223,-34.352432,-724.225895,38.627193,111.430126,107.999055,71.797825,110.524312,139.972898,30.230495,89.565221,74.569487,41.965076,66.273358,76.222907,170.043722,137.941326,106.453191,144.648287,125.699414,155.831791,50.195101,40.41807,-9.315725,-10.149725,19.853697,122.895435,50.433938,83.694382,-28.815059,-80.157746,73.592332,18.809337,8.830708,57.9758,113.856712,220.168855,106.058089,161.226898,101.682311,110.811194,30.605837,35.12051
2017/3/16 21:00,-645.950146,234.620547,195.708239,211.248692,188.331084,218.985822,155.208671,149.99604,81.043114,117.210266,170.709472,196.063195,160.439413,255.235405,137.305623,187.906325,174.471366,175.92508,161.951869,183.489757,123.057068,169.976663,146.051407,198.919405,163.368946,216.621848,48.931672,44.366937,205.097093,53.846223,-35.173696,-722.530828,39.499094,113.115265,109.690872,73.420488,113.006923,143.241985,30.230495,91.129811,76.273964,41.965076,65.411058,76.222907,168.994794,137.941326,108.152177,146.272323,128.084428,158.391905,51.783561,41.196707,-8.490639,-9.371372,20.696859,122.895435,49.467721,85.424474,-28.815059,-78.462361,71.791496,18.809337,9.647757,61.081591,118.165805,219.281696,106.91892,163.715552,102.519729,111.574556,31.626072,32.766363
2017/3/17 21:00,-645.950146,234.620547,195.708239,211.248692,188.331084,218.985822,155.208671,149.99604,81.043114,117.210266,170.709472,196.063195,160.439413,255.235405,137.305623,187.906325,174.471366,175.92508,161.951869,183.489757,123.057068,169.976663,146.051407,198.919405,163.368946,216.621848,50.674112,44.366937,205.097093,53.846223,-35.173696,-722.530828,39.499094,113.115265,109.690872,73.420488,113.006923,143.241985,30.230495,91.129811,76.273964,41.965076,65.411058,76.222907,168.994794,137.941326,108.152177,146.272323,128.084428,158.391905,51.783561,41.196707,-8.490639,-9.371372,20.696859,122.895435,49.467721,88.138534,-28.815059,-78.462361,71.791496,18.809337,9.647757,61.081591,118.165805,219.281696,106.91892,163.715552,102.519729,111.574556,31.352321,35.092745
